EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	TimestepsSoFar
26.4871794872	26.4871794872	0.00208709	0.690502	-0.000396328674398	-0.0183208867059	1033
23.8837209302	23.8837209302	0.00207603	0.68466	-0.0365874521566	-0.111697476251	2060
25.6	25.6	0.00168604	0.678209	-0.114207765353	-0.119995561312	3084
30.4242424242	30.4242424242	0.00118296	0.671497	-0.00814922626508	0.0494514261541	4088
26.5263157895	26.5263157895	0.00130512	0.660208	-0.0858595897943	0.117820496297	5096
39.8518518519	39.8518518519	0.001078	0.659391	0.080529930767	0.142409654716	6172
38.0740740741	38.0740740741	0.00101021	0.644328	0.0197163157554	0.0752644937221	7200
42.4583333333	42.4583333333	0.000964149	0.635845	0.00877437155603	0.0770285346691	8219
44.125	44.125	0.000749344	0.64006	0.0662534122218	0.135285177112	9278
46.2272727273	46.2272727273	0.00076467	0.628388	0.213778078004	0.270175517911	10295
51.7619047619	51.7619047619	0.000653283	0.620284	0.125648399647	0.186003678419	11382
58.6111111111	58.6111111111	0.000754152	0.612721	0.197911905997	0.243813996966	12437
61.2941176471	61.2941176471	0.000579884	0.599446	0.0387044718037	0.226319762715	13479
84.4166666667	84.4166666667	0.000835478	0.610972	0.154451160857	0.254630170037	14492
82.3571428571	82.3571428571	0.00147998	0.597288	0.258799772371	0.320531460567	15645
77.7857142857	77.7857142857	0.00088802	0.582806	0.316073167625	0.359494054374	16734
86.3333333333	86.3333333333	0.00184992	0.599177	0.447860400922	0.503114180686	17770
114.444444444	114.444444444	0.000604682	0.584753	0.330963222731	0.419073271861	18800
100.5	100.5	0.00103751	0.575639	0.380098532486	0.406843932036	19805
134.5	134.5	0.00176896	0.592703	0.554248658278	0.679871654336	20881
125.25	125.25	0.000906979	0.581791	0.402458633219	0.446232772855	21883
173.333333333	173.333333333	0.000690018	0.574002	0.415710319537	0.621371135471	22923
156.285714286	156.285714286	0.000447198	0.575152	0.521504450199	0.617285187447	24017
141.5	141.5	0.000428401	0.570602	0.29742822598	0.517469878531	25149
144.5	144.5	0.000429771	0.560076	0.645085699308	0.740419672095	26305
148.285714286	148.285714286	0.000478634	0.566288	0.654966331187	0.734764160352	27343
172.0	172.0	0.000204882	0.559745	0.270402027669	0.306417051188	28375
165.857142857	165.857142857	0.000251356	0.562524	0.276432286284	0.343725404786	29536
189.166666667	189.166666667	0.000234483	0.563867	0.364010499148	0.469179703468	30671
175.5	175.5	0.000399552	0.554769	0.253546396101	0.541406262696	31724
176.166666667	176.166666667	0.000257228	0.54954	0.556255969729	0.684070400385	32781
182.5	182.5	0.000193696	0.550226	0.386417323232	0.446614302087	33876
200.0	200.0	0.000511333	0.558953	0.672860373278	0.734556986681	35076
195.5	195.5	0.000287866	0.556539	0.457433770399	0.59485231852	36249
172.833333333	172.833333333	0.000373966	0.533698	0.259301414367	0.371846198471	37286
190.833333333	190.833333333	0.000708488	0.551776	0.331384011476	0.433403457811	38431
199.333333333	199.333333333	0.000719897	0.549931	0.423163725625	0.467009167916	39627
184.0	184.0	0.000572363	0.540442	0.108074982794	0.200791314448	40731
179.666666667	179.666666667	0.000200258	0.54011	0.356121427277	0.429151856413	41809
200.0	200.0	4.52848e-05	0.536991	0.383495734989	0.425130607834	43009
178.5	178.5	0.000132695	0.528235	0.497664443523	0.574128373109	44080
