EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	TimestepsSoFar
-1178.54065003	200.0	0.000246454	1.41944	0.0	0.378739386951	2600
-1229.90313286	200.0	0.000481263	1.4199	0.42481477872	0.447996020185	5200
-1054.20646335	200.0	0.00107113	1.42009	0.437485452939	0.441634040395	7800
-1066.79888995	200.0	0.00119812	1.4195	0.395830968046	0.401510412598	10400
-1095.41344348	200.0	0.00117217	1.41886	0.409632345565	0.422569453188	13000
-1058.65538729	200.0	0.000268477	1.41847	0.349830411603	0.365454654744	15600
-1117.3391348	200.0	1.91684e-05	1.41753	0.466027550746	0.497642272482	18200
-1279.94104458	200.0	0.000242868	1.41628	0.268596104764	0.395007135911	20800
-1217.37400445	200.0	0.000686148	1.41475	0.449492497745	0.469923125489	23400
-1174.86675026	200.0	0.00264375	1.41317	0.529884364873	0.557831688564	26000
-1144.9487503	200.0	0.00172595	1.41096	0.467168713829	0.523845294232	28600
-1251.02097844	200.0	0.00117728	1.41046	0.295013951983	0.342295175068	31200
-1226.99458392	200.0	0.000587725	1.41015	0.353736010903	0.375847331447	33800
-1062.613195	200.0	0.00544664	1.40918	0.17953286831	0.278573487087	36400
-1152.66780915	200.0	0.000773287	1.40814	0.190244033658	0.21465214844	39000
-1129.43289247	200.0	0.0030873	1.40728	0.406904091085	0.464079724133	41600
-1174.53620823	200.0	0.00477618	1.40688	0.0483093636766	0.1948315849	44200
-1191.51165875	200.0	0.000693043	1.40638	0.276024781002	0.295735034559	46800
-1170.40552655	200.0	0.000630978	1.40526	0.186788772186	0.198082170937	49400
-1202.71436548	200.0	0.0109569	1.40325	0.267881910321	0.274785841077	52000
-1158.81247139	200.0	0.00461082	1.40058	0.328941686146	0.341595753815	54600
-1150.00118376	200.0	0.0026424	1.39843	0.44166809503	0.470789301176	57200
-1135.09503814	200.0	0.00748314	1.39619	0.467225877705	0.486988048718	59800
-1203.45600684	200.0	0.00506091	1.39517	0.628761108211	0.636686944022	62400
-1046.93772047	200.0	0.00279623	1.39458	0.559355848638	0.566541852075	65000
-1068.78279762	200.0	0.00350932	1.39454	0.575533859418	0.582160279158	67600
-1001.81899716	200.0	0.00276675	1.39444	0.44978758386	0.46141695067	70200
-1109.39644436	200.0	0.00200296	1.39402	0.605587622939	0.685373214316	72800
-1131.03606006	200.0	3.67082e-05	1.39357	0.270994593884	0.441819886461	75400
-1147.25662254	200.0	0.00341024	1.39254	0.424444113259	0.425836696098	78000
-1070.73123571	200.0	0.00338999	1.39146	0.465603970908	0.488251874172	80600
-1014.17080178	200.0	0.00608067	1.39077	0.542358614128	0.55944703598	83200
-937.619890225	200.0	0.000669578	1.39067	0.608322111894	0.646702918612	85800
-1021.58569109	200.0	0.0028448	1.39013	0.551287518285	0.593049125854	88400
-1085.16733284	200.0	0.000218376	1.38945	0.656582820884	0.663407501352	91000
-928.732752311	200.0	0.000294385	1.38771	0.475600687752	0.479172089556	93600
-1197.4685076	200.0	0.0101289	1.38568	0.725169864712	0.734490916298	96200
-1059.91820959	200.0	0.00161872	1.38471	0.526992889257	0.590127573177	98800
-1012.80197426	200.0	0.000399223	1.38325	0.394186656101	0.416835543695	101400
-1041.17163739	200.0	0.00191476	1.38308	0.539153342347	0.544445802978	104000
-996.093960416	200.0	0.000403706	1.38378	0.553998626509	0.580603579758	106600
-939.043854863	200.0	0.00109494	1.38126	0.493086873385	0.493506344157	109200
-967.601185426	200.0	0.00528468	1.37537	0.555900825152	0.569466995375	111800
-941.421312823	200.0	0.00437462	1.37136	0.552200675507	0.578158021396	114400
-952.69924333	200.0	0.00371605	1.36936	0.52180399172	0.53484600122	117000
-1016.90839781	200.0	0.00316544	1.36735	0.598766957939	0.610232764215	119600
-1094.96179763	200.0	0.00571455	1.36498	0.720204434639	0.73717278979	122200
-1018.57302187	200.0	0.000663433	1.36353	0.728261326871	0.73234940578	124800
-1008.54256265	200.0	0.00104901	1.36115	0.625676355564	0.629076336406	127400
-952.160052344	200.0	0.000810136	1.35922	0.574775432197	0.578057947673	130000
-1041.59078923	200.0	0.00101756	1.35652	0.623649205154	0.633905865243	132600
-937.855404356	200.0	0.0055863	1.35457	0.532783581642	0.553398577427	135200
-1079.20809752	200.0	0.00684442	1.35361	0.717769621281	0.719437298328	137800
-939.288581698	200.0	0.000542169	1.35266	0.393112669724	0.429799290425	140400
-899.607007203	200.0	0.00350898	1.35173	0.466151212827	0.48210755898	143000
-929.059489823	200.0	0.0072672	1.35207	0.258614611876	0.304333911835	145600
-961.412473351	200.0	0.00368233	1.35221	0.581920565482	0.609237866322	148200
