EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	SurrogateLoss	TimestepsSoFar
-683.710800063	1000.0	0.00232502	8.51263	0.0	0.0958503195102	-0.0401361	3000
-674.703669447	1000.0	0.000206138	8.51113	0.0835447187391	0.146137745928	-0.0355914	6000
-575.934203027	1000.0	0.00243298	8.50988	-0.0736694847038	0.242301498699	-0.0148532	9000
-649.723482105	1000.0	-0.000102386	8.50761	-0.108919319939	0.136760089902	-0.0996982	12000
-681.293542963	1000.0	0.000590548	8.50328	-0.0234704033051	0.12106158733	-0.101798	15000
-680.390960093	1000.0	0.00367526	8.49697	0.0461231150464	0.112860653717	-0.058955	18000
-687.556889106	1000.0	0.00102439	8.49024	0.074390464992	0.14661636718	-0.102865	21000
-584.073987195	1000.0	-0.00156751	8.48333	0.0630987956386	0.110263594586	-0.0891963	24000
-622.547418764	1000.0	-0.000473105	8.47337	0.0718560778737	0.198544837249	-0.0346592	27000
-646.152437043	1000.0	0.00931871	8.45766	0.117105157995	0.172427924225	-0.0867621	30000
-531.392054006	1000.0	-0.000360683	8.44639	-0.0666370065002	0.285188849605	-0.118332	33000
-596.770599005	1000.0	0.00799048	8.43083	-0.100113403026	0.121532136435	-0.0367933	36000
-610.720391705	1000.0	0.00562874	8.42043	0.0546843538534	0.200950097404	-0.0676897	39000
-686.220483351	1000.0	-0.0022411	8.41328	0.106858326987	0.158626464825	-0.0880107	42000
-591.730000355	1000.0	-0.00159136	8.40226	0.0136676054775	0.140568751435	-0.084318	45000
-731.172472168	1000.0	-0.00401957	8.386	0.0684677926215	0.328142017033	-0.055281	48000
-649.79194451	1000.0	-0.000459133	8.3602	0.0610198158421	0.228453967289	-0.117159	51000
-706.032611902	1000.0	0.0594741	8.32207	-0.24435958692	0.155502361753	-0.0662009	54000
-617.023695811	1000.0	0.0274968	8.29491	0.143152715064	0.230188261485	-0.136994	57000
-490.976900723	1000.0	0.00250135	8.27786	0.12571301816	0.19030654904	-0.0322481	60000
-554.814370509	1000.0	-0.00428664	8.2615	0.185655608812	0.297267574829	-0.0721271	63000
-596.956672002	1000.0	0.00600743	8.23695	0.176602641488	0.206554447039	-0.0742971	66000
-515.556165094	1000.0	-0.00222921	8.22039	0.342468862083	0.405319192775	-0.120891	69000
-571.899069863	1000.0	-0.00286108	8.19567	0.25344105895	0.289322274674	-0.0748927	72000
-574.130170111	1000.0	0.0279279	8.15843	0.215654033925	0.256995618836	-0.0771166	75000
-505.143098579	1000.0	0.00128	8.13439	0.152797452835	0.209693998893	-0.0427679	78000
-535.303594603	1000.0	0.00262238	8.11112	0.190927822197	0.32881676724	-0.0454691	81000
-624.869073613	1000.0	0.0178494	8.08911	0.373996222769	0.471558167556	-0.037958	84000
-616.916469329	1000.0	-0.00474744	8.07522	-0.161318284986	0.211652992829	-0.0337824	87000
-561.7695837	1000.0	-0.00242865	8.05499	0.0448080933494	0.133366515959	-0.0403416	90000
-569.202695085	1000.0	0.0111756	8.02567	-0.0460568174908	0.251037173504	-0.0536779	93000
-503.480412186	1000.0	0.00420813	8.0049	0.0733592698257	0.169787183946	-0.0953765	96000
-606.391330551	1000.0	-0.00260354	7.99255	0.0514815310029	0.15106639533	0.00768746	99000
-630.480439394	1000.0	-0.000894204	7.97373	0.0896375954568	0.139996062027	-0.0548169	102000
-583.016840525	1000.0	0.00827894	7.94527	-0.0237247025939	0.183926851457	-0.0500761	105000
-607.078361766	1000.0	-0.00641911	7.92564	0.118222022048	0.166092631447	-0.0781867	108000
-618.694825452	1000.0	0.00445466	7.8959	-0.0296776460756	0.0786178582436	-0.0720271	111000
-586.635711058	1000.0	-0.0027087	7.87549	0.0794249185282	0.125294839044	-0.0781202	114000
-567.93238216	1000.0	0.0158961	7.84591	0.0401570794706	0.100879226801	-0.0348814	117000
-573.58853951	1000.0	-0.00461629	7.82701	0.124551185775	0.174563637262	-0.0289491	120000
-476.070165675	1000.0	-0.000176565	7.80119	0.086105735814	0.171433322908	-0.00585613	123000
-501.156102193	1000.0	0.00291493	7.76531	0.105883864998	0.313331515109	-0.0105904	126000
-535.407033616	1000.0	0.0184012	7.72881	-0.192177850071	0.129513798223	-0.0470535	129000
-505.691442017	1000.0	-0.00537438	7.70178	0.0917324731631	0.135784850312	-0.0975131	132000
-484.929821401	1000.0	0.00370666	7.66204	0.102752670498	0.198436319923	-0.0354261	135000
-550.079542702	1000.0	0.0136898	7.62148	-0.0555561108447	0.160277941522	-0.0732769	138000
-530.787931206	1000.0	0.0178718	7.59534	-0.0960507978335	0.125924906428	-0.0394381	141000
-465.814880207	1000.0	0.0273763	7.57771	0.115255312059	0.178713817402	-0.0598891	144000
-470.385302194	1000.0	0.0103351	7.56639	-1.37547215355	0.122150341687	-0.0236258	147000
-452.667799938	1000.0	0.00255243	7.55935	-0.0703238355268	0.27924604969	-0.0301717	150000
-500.386785513	1000.0	0.00201717	7.55184	-0.0939503883568	0.152500364552	-0.0712584	153000
-421.060317711	1000.0	0.00108119	7.54431	-0.0650274618617	0.123614412983	-0.0621776	156000
-445.721953651	1000.0	0.00269075	7.53745	-0.01100152479	0.0851554731665	-0.00535505	159000
-411.264216565	1000.0	0.00249285	7.53103	0.0221134252605	0.288620088398	-0.0266551	162000
-412.331351116	1000.0	6.36812e-05	7.52416	-0.0108516046618	0.128736835146	-0.081431	165000
-400.282743102	1000.0	0.00429854	7.51327	0.136624514332	0.19825385688	-0.0678946	168000
-375.019905251	1000.0	-0.00113151	7.50624	0.041253563057	0.120266605836	-0.0354749	171000
-383.598627586	1000.0	1.20792e-06	7.49522	-0.850451434656	0.140589444686	-0.0642075	174000
-408.497209272	1000.0	0.000290209	7.47794	0.0649467021687	0.202140687483	-0.0644891	177000
-367.269876283	1000.0	0.00598126	7.45738	-2.18137222289	0.157910162447	0.0519713	180000
-302.101549537	1000.0	-0.00334545	7.44337	0.0982777410075	0.146790947281	-0.0428809	183000
-336.658330407	1000.0	-0.00187906	7.42363	0.176375282142	0.34998718907	-0.0166135	186000
-260.090828074	1000.0	0.019565	7.39428	0.0604267116474	0.238099522255	-0.0315899	189000
-334.444910428	1000.0	0.00471456	7.37409	0.0203637754357	0.267372018979	-0.0438329	192000
-326.369338246	1000.0	-0.000793978	7.35972	-0.0620768793184	0.118470175134	-0.0641226	195000
-312.044424618	1000.0	0.0109434	7.33823	0.0255451001341	0.212998309631	-0.0403206	198000
-307.546211278	1000.0	-0.0014269	7.32488	0.0610274793996	0.159778706822	-0.0173763	201000
-295.732440225	1000.0	-0.00133225	7.30444	0.0992788278509	0.177938376328	-0.0507028	204000
-297.406494919	1000.0	0.0167305	7.27395	-0.248346049003	0.17452997088	-0.0384952	207000
-348.73739127	1000.0	0.00436315	7.25331	0.171242712263	0.211557923868	-0.0413222	210000
-303.680220095	1000.0	-0.00318132	7.23942	0.296352827784	0.372853057763	-0.0416635	213000
-256.25185328	1000.0	0.0081844	7.22136	0.160823273744	0.26011034022	0.0133197	216000
-232.367056488	1000.0	0.00125348	7.20821	0.172921585443	0.277418767747	-0.069207	219000
-292.261369503	1000.0	-0.00600758	7.19343	0.0469103166741	0.185186118518	-0.0803369	222000
-195.824716917	1000.0	0.00802691	7.17253	-1.30771748357	0.284638566418	-0.0203483	225000
-345.870518081	1000.0	-0.00183273	7.15905	0.00538403499968	0.207061312655	-0.0231089	228000
-272.498379987	1000.0	0.0110604	7.13919	0.133663671299	0.185138171371	-0.0320241	231000
