EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	TimestepsSoFar
-1200.10689447	200.0	-0.000412826	1.41844	0.0	0.291516218915	2600
-1126.02240812	200.0	0.000413222	1.41856	0.432701673341	0.465533684578	5200
-1242.62101476	200.0	-0.000106689	1.41839	0.296340976642	0.307115875021	7800
-1146.00634642	200.0	-0.000233477	1.41785	0.303892542387	0.335752446193	10400
-1288.33715593	200.0	0.000296544	1.41798	0.29961489627	0.304720579553	13000
-1124.34360364	200.0	0.00132889	1.41796	0.371177406043	0.40202240635	15600
-1241.08902658	200.0	0.00285006	1.41812	0.433769366531	0.450302342666	18200
-1075.47159981	200.0	0.00465459	1.41872	0.327326247893	0.361345839781	20800
-1207.40470199	200.0	0.00248952	1.41888	0.392274764712	0.400973943298	23400
-1156.74130575	200.0	0.00340013	1.41863	0.384131357141	0.392822434865	26000
-1215.69909188	200.0	0.00488848	1.41837	0.299663831683	0.309943421373	28600
-1174.19249054	200.0	0.000578939	1.41857	0.12693031973	0.152867590749	31200
-1317.46197165	200.0	0.000814842	1.41878	0.259497298258	0.307064570494	33800
-1220.34898745	200.0	0.00200542	1.4192	0.0113304561664	0.0875220652419	36400
-1245.42832092	200.0	0.006416	1.41934	0.175951848383	0.200318866918	39000
-1181.06087783	200.0	0.00412016	1.41944	0.275759391369	0.287796567159	41600
-1144.56510364	200.0	0.00223279	1.41963	0.251872233419	0.272420657335	44200
-1193.01892389	200.0	0.000761147	1.41976	0.327632185573	0.344682373377	46800
-1214.56342545	200.0	0.00147971	1.41928	0.338255216745	0.358557150493	49400
-1264.19771307	200.0	0.000291851	1.41905	0.365723856879	0.42278035248	52000
-1150.57710297	200.0	0.00158368	1.41867	0.434538603839	0.484861347349	54600
-1176.52931631	200.0	0.00285104	1.41856	0.519711658663	0.528905379477	57200
-1134.37916971	200.0	0.00255472	1.41786	0.501728281115	0.507466494368	59800
-1135.93586627	200.0	0.00217638	1.4175	0.36917288549	0.420808117053	62400
-1128.92567076	200.0	-2.36442e-06	1.41708	0.186498816396	0.241771125894	65000
-1211.23365874	200.0	-3.34745e-05	1.41626	0.395114149351	0.425227766883	67600
-1095.16396071	200.0	0.013031	1.41401	0.0912112825335	0.129507803372	70200
-1073.3919414	200.0	0.00186082	1.41245	0.340742632754	0.418552511253	72800
-1094.44068332	200.0	0.00140505	1.41107	0.447916970892	0.470280320784	75400
-1172.24404872	200.0	0.00261327	1.40925	0.504340216469	0.521413090089	78000
-1132.62556292	200.0	0.00312648	1.40756	0.454531930029	0.465019062335	80600
-1304.43879532	200.0	0.000749131	1.40728	0.327663687752	0.342966771586	83200
-1294.80434225	200.0	0.000600719	1.40749	0.188758481884	0.209851623229	85800
-1300.51611705	200.0	0.00527446	1.40748	0.0669204621914	0.0834044323085	88400
-1318.98235889	200.0	0.00262466	1.40705	0.291512744571	0.38673289025	91000
-1265.48697786	200.0	0.00974797	1.40664	0.405961667659	0.414864230421	93600
-1103.90741936	200.0	0.00248837	1.4063	0.4875757075	0.51461410869	96200
-1042.69728992	200.0	-0.000295638	1.40565	0.444554695339	0.447287474502	98800
-1045.80397564	200.0	0.00492074	1.40577	0.418932513107	0.421733577172	101400
-1067.5173011	200.0	0.00167324	1.40641	0.503689162574	0.514505505779	104000
-974.083329415	200.0	0.0212835	1.40662	0.347492993567	0.362789981585	106600
-1049.65330011	200.0	0.00375849	1.40695	0.405840485919	0.476337923376	109200
-1237.5562898	200.0	0.00230607	1.40667	0.345471960538	0.380520087836	111800
-1256.99224697	200.0	-3.01436e-05	1.40576	0.416267610417	0.436656267974	114400
-1276.04796319	200.0	-0.000993673	1.40422	0.306032707606	0.316750449134	117000
-1265.21469577	200.0	-0.000956124	1.40207	0.29346338535	0.303186585342	119600
-1363.80394464	200.0	-0.00219483	1.39937	0.29278478509	0.298168603494	122200
-1337.66003729	200.0	-0.00328971	1.3942	0.1773818664	0.202558946439	124800
-1282.35836481	200.0	0.00520649	1.38984	0.260618512636	0.28348856557	127400
-1207.90642123	200.0	0.00505854	1.38614	0.246020469788	0.264428322721	130000
-1224.24220958	200.0	0.0134497	1.38314	0.244346459424	0.266902249358	132600
-1102.71718044	200.0	0.0434066	1.38163	0.143392145925	0.157674490467	135200
-1073.63563233	200.0	0.0187867	1.38087	0.31563762274	0.39807066795	137800
-945.920322738	200.0	0.00545866	1.38019	0.33815273988	0.351949252963	140400
-964.785661352	200.0	0.00116409	1.37982	0.449056839864	0.469898728036	143000
-875.243459528	200.0	0.00326656	1.3794	0.481775094115	0.509272221745	145600
-946.45313473	200.0	0.000789972	1.37908	0.497809437167	0.500906871047	148200
-1043.69630804	200.0	0.00229505	1.37878	0.584497723497	0.588532827884	150800
-1083.79883417	200.0	0.00635875	1.37867	0.557790648649	0.558474114416	153400
-930.247924869	200.0	0.00452954	1.37877	0.448876719907	0.454157378953	156000
-870.200513558	200.0	0.00562212	1.37885	0.346220664505	0.360861631736	158600
-951.518811955	200.0	0.00260954	1.37886	0.665160745102	0.669915637945	161200
-1005.23552328	200.0	0.00037153	1.37883	0.231444443482	0.36824066291	163800
-988.480494329	200.0	0.00397054	1.37893	0.508232976386	0.544559779092	166400
-1015.37033957	200.0	0.00584329	1.37885	0.676639032455	0.689669283125	169000
-898.168449509	200.0	0.00128566	1.37897	0.574063546143	0.593157382692	171600
-981.866838127	200.0	0.000494928	1.37902	0.599624868262	0.607585979738	174200
-976.213573338	200.0	0.000418982	1.3791	0.653574219441	0.667889375999	176800
-904.275523659	200.0	0.00355722	1.37921	0.509118616807	0.531274010898	179400
-890.964875115	200.0	0.00111297	1.3793	0.429692198769	0.446397184194	182000
-989.618131018	200.0	0.000817198	1.3792	0.620682224909	0.628111561576	184600
-1001.27057085	200.0	0.00263909	1.37917	0.520427520081	0.536312319878	187200
-987.485977574	200.0	0.00278143	1.38013	0.543330793505	0.568772927863	189800
-974.08879365	200.0	0.00192386	1.38112	0.485644173565	0.498674012974	192400
-975.174603002	200.0	0.00238951	1.38175	0.547355883039	0.552101460525	195000
-958.537424596	200.0	0.00262819	1.38284	0.55364030796	0.55518674347	197600
-832.672905915	200.0	0.00247759	1.3839	0.263374745847	0.295586995868	200200
-953.766811171	200.0	0.00590636	1.3849	0.348287111695	0.359272185315	202800
-922.178382546	200.0	0.00487381	1.38568	0.520861385454	0.541077149474	205400
-878.018460512	200.0	0.00179025	1.38594	0.506582479271	0.549649556161	208000
-931.789521022	200.0	0.00194892	1.38606	0.577390905976	0.590437202769	210600
-952.327323977	200.0	0.000735107	1.3864	0.5982665773	0.606771712117	213200
-972.161499913	200.0	0.00821519	1.38686	0.656406604118	0.663178980719	215800
-937.031354713	200.0	0.00592471	1.38716	0.699578096335	0.712399863822	218400
-841.970500543	200.0	0.00378917	1.38724	0.582164368431	0.592485161698	221000
-909.169155148	200.0	0.000405433	1.38714	0.590008437444	0.613742064246	223600
-890.52633528	200.0	0.000228502	1.38706	0.534433139234	0.56468692832	226200
-861.377704285	200.0	0.00341761	1.38684	0.480799259054	0.493320316387	228800
-896.036708404	200.0	0.00317797	1.38663	0.603525532134	0.611765186753	231400
-825.238826031	200.0	0.000970031	1.38587	0.56599152655	0.62677516905	234000
-884.568516403	200.0	0.00152927	1.38421	0.578598126835	0.610481954029	236600
-912.735455075	200.0	0.000649702	1.38214	0.648302323377	0.658352617608	239200
-786.574599348	200.0	0.0311766	1.37838	0.671082513961	0.689645587337	241800
-908.885508586	200.0	0.0179319	1.37578	0.0662450980471	0.253886106827	244400
-1015.99419153	200.0	-0.000314745	1.37453	0.243900912073	0.263417080837	247000
-960.385793891	200.0	0.0211093	1.37295	0.256209296537	0.260549290347	249600
-860.081882702	200.0	0.0161756	1.37197	0.467354479348	0.544066106346	252200
-787.005437041	200.0	0.00759942	1.37108	0.512255678424	0.557199881165	254800
-729.315488838	200.0	0.00070462	1.37057	0.583956353074	0.609118959945	257400
-775.690420217	200.0	0.00293737	1.3698	0.56921711963	0.576590112785	260000
-886.390113264	200.0	5.97677e-05	1.36896	0.725932466067	0.733274856615	262600
-844.413338618	200.0	0.00384355	1.36764	0.743750236992	0.749386002092	265200
-653.036496684	200.0	0.00201044	1.36607	0.602135724825	0.619193686639	267800
-751.73635336	200.0	0.00200217	1.36473	0.708360775848	0.71706723123	270400
-691.899345558	200.0	0.00327696	1.36322	0.571657568227	0.607145362602	273000
-753.512222983	200.0	0.0119472	1.36159	0.741673210957	0.776090079207	275600
-795.993184331	200.0	-0.000331844	1.36053	0.761968533609	0.779253969936	278200
-729.727238872	200.0	0.0011354	1.35901	0.622406714221	0.632231393532	280800
-614.678765866	200.0	0.00459609	1.35777	0.53652193098	0.549184489007	283400
-686.967450429	200.0	0.00113611	1.35686	0.537111020325	0.5821962855	286000
-731.560888964	200.0	0.00147106	1.35599	0.595553731625	0.598318931809	288600
-627.024089858	200.0	0.00422519	1.35503	0.512094536534	0.560775916985	291200
-688.407056313	200.0	0.00111529	1.3544	0.421304981405	0.523352838427	293800
-709.757501332	200.0	0.00132536	1.3538	0.661704837211	0.696723549915	296400
-497.951082471	200.0	0.00181491	1.35331	0.578064195976	0.608461661754	299000
-574.917694529	200.0	0.00103948	1.35267	0.700953346888	0.713113092996	301600
-649.044687999	200.0	0.000255965	1.35209	0.673826105861	0.694551394433	304200
-736.510595614	200.0	0.0026537	1.35095	0.787317397244	0.789857753059	306800
-516.891213413	200.0	0.000565513	1.34991	0.665085791054	0.691125332405	309400
-507.161722282	200.0	0.0057981	1.34822	0.664409276825	0.668627895475	312000
-540.993904961	200.0	0.00587164	1.34706	0.780356034383	0.787084580713	314600
-517.243982941	200.0	0.00270974	1.34621	0.78498967448	0.789922618256	317200
-502.24320813	200.0	0.000800783	1.34533	0.300741509864	0.518225474634	319800
-407.856568175	200.0	0.000529592	1.34392	0.630902538688	0.793747709279	322400
-548.023393616	200.0	0.00324384	1.34192	0.60689184776	0.671712664678	325000
-487.346902493	200.0	0.00982783	1.33979	0.805873129709	0.854970887442	327600
-428.689342534	200.0	0.00385202	1.33802	0.798131444914	0.809170059186	330200
-378.340834606	200.0	0.00149275	1.33645	0.684148662375	0.696430083123	332800
-272.207618428	200.0	0.00408729	1.33501	0.765989279435	0.780603981556	335400
-316.581247441	200.0	-0.000320611	1.33389	0.869779101524	0.911934505679	338000
-291.301877285	200.0	0.000238167	1.33213	0.92860382415	0.93318532071	340600
-174.588130519	200.0	0.0034939	1.32935	0.951958506768	0.972835831846	343200
-309.234033687	200.0	0.00257215	1.32649	0.888672538561	0.909534490674	345800
-257.543943769	200.0	0.0076082	1.32415	0.850976841794	0.860310126561	348400
-191.074434753	200.0	0.00142524	1.3227	0.927899263451	0.945523441655	351000
-263.156859719	200.0	0.000897744	1.32142	0.404129867885	0.688927283691	353600
-379.207281873	200.0	0.00142114	1.31935	0.700467252402	0.708920637233	356200
-385.359240847	200.0	-0.000507484	1.31729	0.760137966237	0.77197271067	358800
-311.592617398	200.0	0.0353363	1.31432	0.626639183988	0.739363606164	361400
-226.403979413	200.0	0.0168829	1.31234	0.49348993617	0.928095782152	364000
-269.10285886	200.0	0.00325831	1.31106	0.93683017734	0.946580249754	366600
-347.748437429	200.0	4.41078e-05	1.31017	0.927489240475	0.934379440647	369200
-303.994716509	200.0	0.000348312	1.30882	0.932553964259	0.935170416934	371800
-249.161779411	200.0	0.0180372	1.30732	0.919574361341	0.923494456801	374400
-220.555632652	200.0	0.0120679	1.30697	0.894928105709	0.899838368031	377000
-245.934640381	200.0	0.00472709	1.30664	0.948194056811	0.956826587628	379600
-288.730418684	200.0	0.00280405	1.30649	0.93711753002	0.943059479346	382200
-229.269594723	200.0	0.00233336	1.30631	0.92427454544	0.93387153967	384800
-311.103019675	200.0	0.00129025	1.30588	0.94902652018	0.951636880822	387400
-275.998819529	200.0	0.00141477	1.30539	0.953828314031	0.961342534433	390000
-214.338503686	200.0	0.000985169	1.30495	0.813303956269	0.853057030201	392600
-180.116676409	200.0	0.0030223	1.30451	0.898105500563	0.948433141568	395200
-320.711254235	200.0	0.000983128	1.30405	0.355348068779	0.677777431827	397800
-290.266952928	200.0	0.0050084	1.30343	0.278088087632	0.734990654121	400400
-226.091740259	200.0	0.00132505	1.30298	0.792110530081	0.93093405893	403000
-373.457819209	200.0	0.0015345	1.30249	-0.188069689129	0.758532147307	405600
